"","field_1","field_2","field_3","field_4","field_5"
"370",10422,74.7800000000279,19.910000000149,8.91,55
"371",12338,61,6.97000000020489,8.91,50
"372",7268,84.6199999999953,40.8100000000559,8.92,45
"373",7407,79.6999999999534,39.8100000000559,8.92,45
"374",7844,77.7299999999814,36.820000000298,8.92,50
"375",8106,44.2800000000279,34.8300000000745,8.92,45
"376",8277,61,33.8400000003166,8.92,50
"377",8304,86.5899999999674,33.8400000003166,8.92,45
"378",8463,96.4300000000512,32.8400000003166,8.92,50
"379",8690,23.609999999986,30.8500000000931,8.92,45
"380",8767,99.3800000000047,30.8500000000931,8.92,55
"381",8836,17.7099999999627,29.8600000003353,8.92,45
"382",8885,65.9200000000419,29.8600000003353,8.92,45
"383",8979,12.7900000000373,28.8600000003353,8.92,45
"384",9198,84.6199999999953,27.8700000001118,8.92,55
"385",9505,89.5400000000373,25.8800000003539,8.92,45
"386",9518,101.349999999977,25.8800000003539,8.92,50
"387",9633,60.0200000000186,24.8800000003539,8.92,55
"388",9911,19.6800000000512,22.8900000001304,8.92,45
"389",9962,69.859999999986,22.8900000001304,8.92,45
"390",10106,61.9899999999907,21.9000000003725,8.92,45
"391",10233,38.3699999999953,20.9000000003725,8.92,55
"392",10587,89.5400000000373,18.910000000149,8.92,45
"393",10726,80.6800000000512,17.910000000149,8.92,45
"394",10731,85.5999999999767,17.910000000149,8.92,45
"395",10841,44.2800000000279,16.9200000003912,8.92,50
"396",11776,64.9399999999441,10.9500000001863,8.92,55
"397",12303,26.5699999999488,6.97000000020489,8.92,50
"398",12304,27.5500000000466,6.97000000020489,8.92,50
"399",12883,31.4899999999907,2.99000000022352,8.92,50
"400",7532,60.0200000000186,38.820000000298,8.93,50
"401",7546,73.8000000000466,38.820000000298,8.93,45
"402",7550,77.7299999999814,38.820000000298,8.93,45
"403",7830,63.9599999999627,36.820000000298,8.93,45
"404",8159,94.4599999999627,34.8300000000745,8.93,45
"405",8240,24.5999999999767,33.8400000003166,8.93,50
"406",8451,84.6199999999953,32.8400000003166,8.93,45
"407",8612,95.4399999999441,31.8500000000931,8.93,50
"408",9130,17.7099999999627,27.8700000001118,8.93,50
"409",9143,30.5,27.8700000001118,8.93,55
"410",9179,65.9200000000419,27.8700000001118,8.93,50
"411",9289,25.5799999999581,26.8700000001118,8.93,55
"412",9343,78.7199999999721,26.8700000001118,8.93,55
"413",9584,14.7600000000093,24.8800000003539,8.93,55
"414",9759,25.5799999999581,23.8900000001304,8.93,45
"415",9927,35.4200000000419,22.8900000001304,8.93,50
"416",9956,63.9599999999627,22.8900000001304,8.93,45
"417",10218,23.609999999986,20.9000000003725,8.93,50
"418",10438,90.5200000000186,19.910000000149,8.93,45
"419",10508,11.8099999999395,18.910000000149,8.93,50
"420",10662,17.7099999999627,17.910000000149,8.93,55
"421",10870,72.8099999999395,16.9200000003912,8.93,45
"422",10874,76.75,16.9200000003912,8.93,45
"423",11018,67.890000000014,15.9200000003912,8.93,45
"424",11485,61.9899999999907,12.9400000004098,8.93,50
"425",11589,22.6300000000047,11.9400000004098,8.93,55
"426",11605,38.3699999999953,11.9400000004098,8.93,45
"427",11747,36.4100000000326,10.9500000001863,8.93,45
"428",11885,30.5,9.95000000018626,8.93,45
"429",11931,75.7600000000093,9.95000000018626,8.93,50
"430",12204,67.890000000014,7.95999999996275,8.93,50
"431",12307,30.5,6.97000000020489,8.93,50
"432",6972,79.6999999999534,42.8000000002794,8.94,50
"433",6979,86.5899999999674,42.8000000002794,8.94,50
"434",7115,77.7299999999814,41.8000000002794,8.94,50
"435",7134,96.4300000000512,41.8000000002794,8.94,45
"436",7390,62.9699999999721,39.8100000000559,8.94,50
"437",7565,92.4899999999907,38.820000000298,8.94,50
"438",7859,92.4899999999907,36.820000000298,8.94,55
"439",8112,50.1800000000512,34.8300000000745,8.94,45
"440",8254,38.3699999999953,33.8400000003166,8.94,45
"441",8273,57.0699999999488,33.8400000003166,8.94,50
"442",8400,34.4399999999441,32.8400000003166,8.94,45
"443",8419,53.1300000000047,32.8400000003166,8.94,50
"444",8593,76.75,31.8500000000931,8.94,45
"445",8610,93.4799999999814,31.8500000000931,8.94,50
"446",8611,94.4599999999627,31.8500000000931,8.94,50
"447",8689,22.6300000000047,30.8500000000931,8.94,45
"448",8768,100.359999999986,30.8500000000931,8.94,55
"449",8846,27.5500000000466,29.8600000003353,8.94,50
"450",8881,61.9899999999907,29.8600000003353,8.94,45
"451",8895,75.7600000000093,29.8600000003353,8.94,50
"452",9060,92.4899999999907,28.8600000003353,8.94,55
"453",9200,86.5899999999674,27.8700000001118,8.94,55
"454",9290,26.5699999999488,26.8700000001118,8.94,55
"455",9295,31.4899999999907,26.8700000001118,8.94,55
"456",9422,7.86999999999534,25.8800000003539,8.94,50
"457",9436,21.6500000000233,25.8800000003539,8.94,55
"458",9498,82.6500000000233,25.8800000003539,8.94,45
"459",9892,0.979999999981374,22.8900000001304,8.94,55
"460",10137,92.4899999999907,21.9000000003725,8.94,55
"461",10231,36.4100000000326,20.9000000003725,8.94,55
"462",10585,87.5699999999488,18.910000000149,8.94,45
"463",10873,75.7600000000093,16.9200000003912,8.94,45
"464",11149,41.3299999999581,14.9300000001676,8.94,55
"465",11172,62.9699999999721,14.9300000001676,8.94,45
"466",11886,31.4899999999907,9.95000000018626,8.94,45
"467",12039,42.3099999999395,8.95999999996275,8.94,50
"468",6977,84.6199999999953,42.8000000002794,8.95,50
"469",7391,63.9599999999627,39.8100000000559,8.95,50
"470",7667,48.2099999999627,37.820000000298,8.95,50
"471",7669,50.1800000000512,37.820000000298,8.95,50
"472",7831,64.9399999999441,36.820000000298,8.95,45
"473",7971,57.0699999999488,35.8300000000745,8.95,45
"474",8160,95.4399999999441,34.8300000000745,8.95,45
"475",8433,66.9100000000326,32.8400000003166,8.95,55
"476",8595,78.7199999999721,31.8500000000931,8.95,45
"477",8736,68.8800000000047,30.8500000000931,8.95,45
"478",9010,43.2900000000373,28.8600000003353,8.95,55
"479",9037,69.859999999986,28.8600000003353,8.95,50
"480",9055,87.5699999999488,28.8600000003353,8.95,55
"481",9321,57.0699999999488,26.8700000001118,8.95,50
"482",9354,89.5400000000373,26.8700000001118,8.95,45
"483",9360,95.4399999999441,26.8700000001118,8.95,45
"484",9419,4.92000000004191,25.8800000003539,8.95,50
"485",9452,37.390000000014,25.8800000003539,8.95,45
"486",9468,53.1300000000047,25.8800000003539,8.95,50
"487",9651,76.75,24.8800000003539,8.95,45
"488",10266,70.8399999999674,20.9000000003725,8.95,50
"489",10279,83.640000000014,20.9000000003725,8.95,55
"490",10390,43.2900000000373,19.910000000149,8.95,45
"491",10598,100.359999999986,18.910000000149,8.95,50
"492",10660,15.7399999999907,17.910000000149,8.95,55
"493",10826,29.5200000000186,16.9200000003912,8.95,45
"494",10868,70.8399999999674,16.9200000003912,8.95,45
"495",12069,71.8299999999581,8.95999999996275,8.95,50
"496",12072,74.7800000000279,8.95999999996275,8.95,50
"497",12308,31.4899999999907,6.97000000020489,8.95,50
"498",7110,72.8099999999395,41.8000000002794,8.96,50
"499",7274,90.5200000000186,40.8100000000559,8.96,45
"500",7687,67.890000000014,37.820000000298,8.96,45
"501",7700,80.6800000000512,37.820000000298,8.96,50
"502",7707,87.5699999999488,37.820000000298,8.96,50
"503",7860,93.4799999999814,36.820000000298,8.96,55
"504",7861,94.4599999999627,36.820000000298,8.96,55
"505",7970,56.0899999999674,35.8300000000745,8.96,45
"506",7981,66.9100000000326,35.8300000000745,8.96,50
"507",8235,20.6600000000326,33.8400000003166,8.96,50
"508",8243,27.5500000000466,33.8400000003166,8.96,50
"509",8465,98.4000000000233,32.8400000003166,8.96,50
"510",8467,100.359999999986,32.8400000003166,8.96,50
"511",8523,7.86999999999534,31.8500000000931,8.96,50
"512",8708,41.3299999999581,30.8500000000931,8.96,50
"513",8750,82.6500000000233,30.8500000000931,8.96,50
"514",8833,14.7600000000093,29.8600000003353,8.96,45
"515",8914,94.4599999999627,29.8600000003353,8.96,55
"516",9791,55.0999999999767,23.8900000001304,8.96,55
"517",9806,68.8800000000047,23.8900000001304,8.96,45
"518",10215,20.6600000000326,20.9000000003725,8.96,50
"519",10283,87.5699999999488,20.9000000003725,8.96,55
"520",10600,102.329999999958,18.910000000149,8.96,50
"521",10852,55.0999999999767,16.9200000003912,8.96,55
"522",11032,80.6800000000512,15.9200000003912,8.96,50
"523",11134,27.5500000000466,14.9300000001676,8.96,50
"524",11523,99.3800000000047,12.9400000004098,8.96,50
"525",11608,41.3299999999581,11.9400000004098,8.96,45
"526",11609,42.3099999999395,11.9400000004098,8.96,45
"527",11880,25.5799999999581,9.95000000018626,8.96,45
"528",12300,23.609999999986,6.97000000020489,8.96,50
"529",7428,100.359999999986,39.8100000000559,8.97,50
"530",8142,79.6999999999534,34.8300000000745,8.97,55
"531",8144,80.6800000000512,34.8300000000745,8.97,55
"532",8245,29.5200000000186,33.8400000003166,8.97,50
"533",8528,12.7900000000373,31.8500000000931,8.97,50
"534",8590,73.8000000000466,31.8500000000931,8.97,45
"535",8735,67.890000000014,30.8500000000931,8.97,45
"536",8830,11.8099999999395,29.8600000003353,8.97,45
"537",8901,81.6700000000419,29.8600000003353,8.97,50
"538",8918,98.4000000000233,29.8600000003353,8.97,55
"539",9025,58.0500000000466,28.8600000003353,8.97,45
"540",9180,66.9100000000326,27.8700000001118,8.97,50
"541",9337,72.8099999999395,26.8700000001118,8.97,55
"542",9423,8.84999999997672,25.8800000003539,8.97,50
"543",9450,35.4200000000419,25.8800000003539,8.97,45
"544",9453,38.3699999999953,25.8800000003539,8.97,45
"545",9669,94.4599999999627,24.8800000003539,8.97,50
"546",9973,80.6800000000512,22.8900000001304,8.97,50
"547",10265,69.859999999986,20.9000000003725,8.97,50
"548",10284,88.5599999999395,20.9000000003725,8.97,55
"549",10647,2.94999999995343,17.910000000149,8.97,50
"550",11168,60.0200000000186,14.9300000001676,8.97,45
"551",11454,31.4899999999907,12.9400000004098,8.97,55
"552",11475,52.1500000000233,12.9400000004098,8.97,45
"553",11610,43.2900000000373,11.9400000004098,8.97,45
"554",11624,57.0699999999488,11.9400000004098,8.97,50
"555",11887,32.4699999999721,9.95000000018626,8.97,45
"556",11902,47.2299999999814,9.95000000018626,8.97,50
"557",12156,20.6600000000326,7.95999999996275,8.97,45
"558",12189,53.1300000000047,7.95999999996275,8.97,55
"559",12302,25.5799999999581,6.97000000020489,8.97,50
"560",12337,60.0200000000186,6.97000000020489,8.97,50
"561",12746,36.4100000000326,3.97999999998137,8.97,50
"562",13241,12.7900000000373,0,8.97,50
"563",6830,88.5599999999395,43.7900000000373,8.98,50
"564",7562,89.5400000000373,38.820000000298,8.98,50
"565",7686,66.9100000000326,37.820000000298,8.98,45
"566",7829,62.9699999999721,36.820000000298,8.98,45
"567",8002,87.5699999999488,35.8300000000745,8.98,55
"568",8130,67.890000000014,34.8300000000745,8.98,50
"569",8146,82.6500000000233,34.8300000000745,8.98,55
"570",8242,26.5699999999488,33.8400000003166,8.98,50
"571",8449,82.6500000000233,32.8400000003166,8.98,45
"572",8717,50.1800000000512,30.8500000000931,8.98,55
"573",8733,65.9200000000419,30.8500000000931,8.98,45
"574",8737,69.859999999986,30.8500000000931,8.98,45
"575",9022,55.0999999999767,28.8600000003353,8.98,45
"576",9339,74.7800000000279,26.8700000001118,8.98,55
"577",9342,77.7299999999814,26.8700000001118,8.98,55
"578",9355,90.5200000000186,26.8700000001118,8.98,45
"579",9503,87.5699999999488,25.8800000003539,8.98,45
"580",9504,88.5599999999395,25.8800000003539,8.98,45
"581",9635,61,24.8800000003539,8.98,55
"582",9668,93.4799999999814,24.8800000003539,8.98,50
"583",9670,95.4399999999441,24.8800000003539,8.98,50
"584",9742,10.8199999999488,23.8900000001304,8.98,55
"585",9761,27.5500000000466,23.8900000001304,8.98,45
"586",9772,38.3699999999953,23.8900000001304,8.98,50
"587",9807,69.859999999986,23.8900000001304,8.98,45
"588",9809,71.8299999999581,23.8900000001304,8.98,45
"589",9810,72.8099999999395,23.8900000001304,8.98,45
"590",10053,9.8399999999674,21.9000000003725,8.98,45
"591",10136,91.5100000000093,21.9000000003725,8.98,55
